"domain","category","metric_count"
"trading","evidence_refs","27"
"trading","sigma_report","21"
"trading","raw_engine","19"
"trading","sigma_step","8"
"trading","array_empty","5"
"trading","metrics","5"
"trading","risk_flags","4"
"trading","trace_id","1"
"trading","ticket_required","1"
"trading","null","1"
"trading","domain","1"
"trading","sigma_override","1"
"trading","attestation_ref","1"
"trading","source","1"
"trading","decision_id","1"
"trading","confidence_governance","1"
"trading","confidence_readiness","1"
"trading","confidence_integrity","1"
"trading","market_verdict","1"
"trading","confidence","1"
"trading","confidence_scope","1"
"trading","reason_code","1"
"trading","severity","1"
"trading","x108_gate","1"
"trading","governance_scope","1"
"trading","readiness_scope","1"
