"domain","category","metric_count"
"trading","evidence_refs","27"
"bank","evidence_refs","22"
"bank","sigma_report","21"
"trading","sigma_report","21"
"gps_defense_aviation","sigma_report","21"
"trading","raw_engine","19"
"gps_defense_aviation","evidence_refs","16"
"bank","raw_engine","14"
"gps_defense_aviation","unknowns","13"
"bank","unknowns","9"
"gps_defense_aviation","metrics","9"
"bank","sigma_step","8"
"gps_defense_aviation","sigma_step","8"
"bank","contradictions","8"
"trading","sigma_step","8"
"gps_defense_aviation","raw_engine","8"
"bank","metrics","5"
"trading","array_empty","5"
"trading","metrics","5"
"gps_defense_aviation","contradictions","4"
"trading","risk_flags","4"
"gps_defense_aviation","array_empty","4"
"bank","array_empty","3"
"bank","risk_flags","2"
"gps_defense_aviation","null","1"
"trading","source","1"
"gps_defense_aviation","domain","1"
"gps_defense_aviation","confidence","1"
"gps_defense_aviation","market_verdict","1"
"trading","sigma_override","1"
"gps_defense_aviation","sigma_override","1"
"bank","domain","1"
"gps_defense_aviation","source","1"
"gps_defense_aviation","attestation_ref","1"
"gps_defense_aviation","decision_id","1"
"gps_defense_aviation","trace_id","1"
"gps_defense_aviation","ticket_required","1"
"gps_defense_aviation","x108_gate","1"
"gps_defense_aviation","reason_code","1"
"gps_defense_aviation","severity","1"
"gps_defense_aviation","confidence_readiness","1"
"gps_defense_aviation","confidence_governance","1"
"gps_defense_aviation","confidence_integrity","1"
"gps_defense_aviation","readiness_scope","1"
"gps_defense_aviation","governance_scope","1"
"gps_defense_aviation","confidence_scope","1"
"trading","attestation_ref","1"
"bank","decision_id","1"
"bank","trace_id","1"
"bank","reason_code","1"
"bank","severity","1"
"bank","attestation_ref","1"
"bank","source","1"
"bank","ticket_required","1"
"bank","null","1"
"bank","x108_gate","1"
"bank","confidence_integrity","1"
"bank","confidence_governance","1"
"bank","market_verdict","1"
"bank","confidence","1"
"bank","governance_scope","1"
"bank","readiness_scope","1"
"bank","confidence_readiness","1"
"bank","confidence_scope","1"
"trading","reason_code","1"
"trading","severity","1"
"trading","readiness_scope","1"
"trading","x108_gate","1"
"trading","ticket_required","1"
"trading","null","1"
"trading","decision_id","1"
"trading","trace_id","1"
"trading","governance_scope","1"
"trading","market_verdict","1"
"trading","confidence","1"
"bank","sigma_override","1"
"trading","domain","1"
"trading","confidence_readiness","1"
"trading","confidence_scope","1"
"trading","confidence_integrity","1"
"trading","confidence_governance","1"
