"domain","category","metric_count"
"bank","evidence_refs","22"
"bank","sigma_report","21"
"bank","raw_engine","14"
"bank","unknowns","9"
"bank","contradictions","8"
"bank","sigma_step","8"
"bank","metrics","5"
"bank","array_empty","3"
"bank","risk_flags","2"
"bank","ticket_required","1"
"bank","trace_id","1"
"bank","null","1"
"bank","attestation_ref","1"
"bank","sigma_override","1"
"bank","domain","1"
"bank","source","1"
"bank","confidence_governance","1"
"bank","confidence_readiness","1"
"bank","confidence_scope","1"
"bank","market_verdict","1"
"bank","confidence","1"
"bank","confidence_integrity","1"
"bank","reason_code","1"
"bank","severity","1"
"bank","decision_id","1"
"bank","governance_scope","1"
"bank","readiness_scope","1"
"bank","x108_gate","1"
