"domain","category","metric_count"
"gps_defense_aviation","sigma_report","21"
"gps_defense_aviation","evidence_refs","16"
"gps_defense_aviation","unknowns","13"
"gps_defense_aviation","metrics","9"
"gps_defense_aviation","sigma_step","8"
"gps_defense_aviation","raw_engine","8"
"gps_defense_aviation","contradictions","4"
"gps_defense_aviation","array_empty","4"
"gps_defense_aviation","ticket_required","1"
"gps_defense_aviation","trace_id","1"
"gps_defense_aviation","null","1"
"gps_defense_aviation","sigma_override","1"
"gps_defense_aviation","domain","1"
"gps_defense_aviation","attestation_ref","1"
"gps_defense_aviation","source","1"
"gps_defense_aviation","decision_id","1"
"gps_defense_aviation","confidence_governance","1"
"gps_defense_aviation","confidence_readiness","1"
"gps_defense_aviation","confidence_integrity","1"
"gps_defense_aviation","market_verdict","1"
"gps_defense_aviation","confidence","1"
"gps_defense_aviation","confidence_scope","1"
"gps_defense_aviation","reason_code","1"
"gps_defense_aviation","severity","1"
"gps_defense_aviation","x108_gate","1"
"gps_defense_aviation","governance_scope","1"
"gps_defense_aviation","readiness_scope","1"
