"file","exists","sha256","short_sha"
".\package.json","True","5D1BE1EEF297C6FD72842450585EEF969F08AEC6A7DA52C99D4A415D48E2E646","5D1BE1EEF297"
".\package-lock.json","True","B461284B681814D76BBFA38676AD75E866F4276F1B2D0E3EE50A4805631985F7","B461284B6818"
".\MonProjet\server.kernel.sealed.cjs","True","DA2904C5D4604684B19CF557F602E7F65EC46E8B183C59F78CF9B3606F16FA78","DA2904C5D460"
".\sigma\contracts.py","True","6FA4646032A2C2E82FC08C3563403A5FA86E41D2B312E170A960AF80FB995178","6FA4646032A2"
".\sigma\aggregation.py","True","3F5EFD090286212E5B837AFEA9FCDB35E0456DF431E90A52B3986938EADC8A49","3F5EFD090286"
".\sigma\guard.py","True","5B19A0CBBF78555EFF0F2CC96F8FD21867A2BFC2212A830E319678A7FFF08C18","5B19A0CBBF78"
".\sigma\protocols.py","True","9FD36D072C4E3DEC3A500D52E67DDC5AF011D16DB92AFFE3871523CCD70204DF","9FD36D072C4E"
".\sigma\run_pipeline.py","True","3415EF9B448B83E73BFF4E298D7D9BD44C2B903A1C6A8B2F2A4013076E54C540","3415EF9B448B"
".\sigma\registry.py","True","AC46F0FDA906EEB289C8C1007FAA6B0C0DAD59DD071D465A2BFE3E73A431E510","AC46F0FDA906"
".\sigma\obsidia_sigma_v130.py","True","5D6E71983F3974DB4853ECE436126FF7B4511524EF69535D2B3668521AD0B314","5D6E71983F39"
".\audit_merkle.py","True","C84D014DEE0A8DF44035A17619EF35A122085D2C0796FFE8E70A89E5091CF481","C84D014DEE0A"
".\merkle_seal.json","True","02BF214E2C2B1203DF5A7B89BA3068F6C9B821CEA9ECA48EA14987D9558A5B77","02BF214E2C2B"
".\proofs\lean\lakefile.lean","True","89821C9CB272362F3443560D95612A00F3FEE4E66EA41DB2D9354FE832BB35FC","89821C9CB272"
".\proofs\lean\lean-toolchain","True","26DF5F74B79AF0CD9E298B6583993699A54938D047BA1919428DA80D3AE80C6E","26DF5F74B79A"
