"path","type","value"
"domain","String","bank"
"market_verdict","String","ANALYZE"
"confidence","Decimal","0.5"
"confidence_integrity","Decimal","0.5"
"confidence_governance","Decimal","0.95"
"confidence_readiness","Decimal","0.66"
"confidence_scope","String","integrity"
"governance_scope","String","x108_decision_robustness"
"readiness_scope","String","harmonic_integrity_governance"
"contradictions[0]","String","URGENT_BEHAVIOR"
"contradictions[1]","String","IDENTITY_CONTEXT_MISMATCH"
"contradictions[2]","String","URGENT_BEHAVIOR"
"contradictions[3]","String","IDENTITY_CONTEXT_MISMATCH"
"contradictions[4]","String","URGENT_BEHAVIOR"
"contradictions[5]","String","IDENTITY_CONTEXT_MISMATCH"
"contradictions[6]","String","URGENT_BEHAVIOR"
"contradictions[7]","String","IDENTITY_CONTEXT_MISMATCH"
"unknowns[0]","String","TEMPORAL_LOCK_NOT_MATURE"
"unknowns[1]","String","RECENT_FAILED_ATTEMPTS"
"unknowns[2]","String","TEMPORAL_LOCK_NOT_MATURE"
"unknowns[3]","String","RECENT_FAILED_ATTEMPTS"
"unknowns[4]","String","TEMPORAL_LOCK_NOT_MATURE"
"unknowns[5]","String","RECENT_FAILED_ATTEMPTS"
"unknowns[6]","String","TEMPORAL_LOCK_NOT_MATURE"
"unknowns[7]","String","RECENT_FAILED_ATTEMPTS"
"unknowns[8]","String","TICKET_NOT_READY"
"risk_flags[0]","String","FRAUD_PATTERN"
"risk_flags[1]","String","FRAUD_PATTERN"
"x108_gate","String","BLOCK"
"reason_code","String","CONTRADICTION_THRESHOLD_REACHED"
"severity","String","S4"
"decision_id","String","bank-05110188e7a2"
"trace_id","String","8dbb6398-f49e-4ef6-9265-4c284bc32f9e"
"ticket_required","Boolean","False"
"ticket_id","null",""
"attestation_ref","String","07fa66b12974d26f23c49c3d"
"source","String","canonical_framework"
"evidence_refs[0]","String","e47a240fff0baf69"
"evidence_refs[1]","String","67ccfa7e13b28f33"
"evidence_refs[2]","String","e07af98a0a87c218"
"evidence_refs[3]","String","1b301c649153a7ee"
"evidence_refs[4]","String","4fd9e32c9e33d92b"
"evidence_refs[5]","String","730dce7d5101307d"
