"path","size_bytes","sha256"
"examples\EXAMPLE_BLOCKED_CERTIFICATION_CLAIM.md","260","44222B6FC52742CC40ABA30F4BD415F653269457C2932A92255819BCF47F773D"
"examples\EXAMPLE_RGPD_SCOPE_GUARD_PACKET.md","451","9438B379C5C444D55185CBF2C9F3144C338CEDBFA35A06CE29AC872D70A94B00"
"examples\EXAMPLE_RSSI_EVIDENCE_CONTEXT_PACKET.md","391","1FDDD4B3A43E02291ADCA1E8794E2CA803341B71C50E25BE71BB799BF208ECFB"
"failure_modes\RSSI_RGPD_FAILURE_MODES.md","2034","F6F7B7D8D71C31377509EB42E56127D1825FFF9280C477E91022CB086CA26BF9"
"mapping\DATA_PRIVACY_TO_CONTEXTPACKET_MAP.md","788","A38C44C210B05C55A87C980A24ED750774C93E3072C7A3C00A381F8B8E8B6351"
"mapping\RSSI_RGPD_IMPORT_DECISION_TABLE.md","819","B48494E9F870107AC712DCA2670A248E61A7C1D9EE33ACC5A901063C9F751CB6"
"mapping\RSSI_RGPD_TO_OS3_EVIDENCE_MAP.md","1092","1261C4B61E8EF3551E459BFF5EB5CB3280BE1B2C39B60A4012584202CA2B6B48"
"reports\PLAN_F03_NEXT_STEPS.md","517","69144A147FE313B141A84A59F796BC6E8A216DD6C4C2B9055A05BCEDDDCDB399"
"reports\PLAN_F03_RSSI_RGPD_IMPORT_AUDIT_REPORT.md","2134","6A25ACCDB0ACF319F21A55B22F1F642138B7DB1A5B3087CC4043FB05FEFCA34F"
"reports\PLAN_F03_SCOPE_VERIFICATION.md","473","BED81CEF9952C89B8DEF8BEA9DCF631595A86604CA2294CA9F91A34266BEF073"
"specs\F03_RSSI_RGPD_IMPORT_AUDIT_SPEC.md","1678","CE6BA7BACD048D34C86DDFF6FEE699534F6131394FC94AA4D10B67D840906D35"
"specs\RGPD_COMPLIANCE_SCOPE_GUARD_SPEC.md","640","C9A143FFD57C4EF82A17F398CE55E3A459EA0101CB03A20F36386B2363FC57DE"
"specs\RSSI_EVIDENCE_ONLY_SPEC.md","578","FB28ABA3C10E0ADEEE43139D29153E760B75457DE140F5FBA4F9D73E88535886"
